"","Site","Bee_ID","Slide_code","Family","Subtype","Count","Pollen_colour","Date_pollen","Day_of_season","Num_of_samples","Count_scaled","Num_of_subtypes","Season","Abundance_for50","Abundance_for200","Num_ID"
"111","JAM","JAM_PPB","J-164","Brassicaceae","Brassicaceae",182,"medium yellow",2024-12-05,29,2,182,2,"early/mid",5,5,"J.46"
"112","JAM","JAM_W","J-204","Unknown_4","Unknown_4",81,"medium yellow",2024-12-05,29,3,81,3,NA,NA,NA,"J.2"
"113","KB","KB_OBB","K-242","Polygonaceae","Muehlenbeckia",300,"light yellow",2024-12-18,42,1,300,1,"early/mid",4,3,"K.20"
"114","KB","KB_GGW","K-146","Solanaceae","Solanum",70,"light yellow",2024-12-18,42,1,70,2,"early/mid",3,2,"K.15"
"115","KB","KB_GGW","K-146","Unknown_3","Unknown_3",230,"light yellow",2024-12-18,42,1,230,2,NA,NA,NA,"K.15"
"116","JAM","JAM_P-PBG","J-219","Rosaceae","Rubus",299,"light yellow",2025-01-06,61,2,300,1,"late",2,1,"J.66"
"117","JAM","JAM_Y-YPP","J-271","Plantaginaceae","Plantago",300,"light yellow",2025-01-07,62,2,300,1,"late",5,5,"J.67"
"118","JAM","JAM_GPP","J-210","Asteraceae","Cichorieae",195,"dark yellow",2025-01-07,62,1,300,1,"late",4,5,"J.25"
"119","JAM","JAM_P-POB","J-231","Rosaceae","Rubus",291,"light yellow",2025-01-07,62,1,291,2,"late",2,1,"J.22"
"120","JAM","JAM_P-POB","J-231","Caprifoliaceae","Leycesteria",9,"light yellow",2025-01-07,62,1,9,2,"late",3,2,"J.22"
"121","JAM","JAM_P-PBG","J-113","Rosaceae","Rubus",188,"light yellow",2025-01-07,62,2,188,2,"late",2,1,"J.66"
"122","JAM","JAM_P-PBG","J-113","Caprifoliaceae","Leycesteria",112,"light yellow",2025-01-07,62,2,112,2,"late",3,2,"J.66"
"123","JAM","JAM_Y-YYY","J-254","Rosaceae","Rubus",300,"light yellow",2025-01-07,62,1,300,1,"late",2,1,"J.85"
"124","JAM","JAM_OGG","J-206","Asteraceae","Asteraceae",295,"medium yellow",2025-01-07,62,4,300,1,"late",5,5,"J.51"
"125","JAM","JAM_W-OWW","J-182","Ranunculaceae","Ranunculus",51,"medium yellow",2025-01-15,70,2,52,3,"late",2,4,"J.77"
"126","JAM","JAM_W-OWW","J-182","Asteraceae","Cichorieae",84,"medium yellow",2025-01-15,70,2,85,3,"late",4,5,"J.77"
"127","JAM","JAM_W-OWW","J-182","Primulaceae","Lysimachia",161,"medium yellow",2025-01-15,70,2,163,3,"late",2,2,"J.77"
"128","JAM","JAM_Y-YPP","J-197","Asteraceae","Cichorieae",297,"dark yellow",2025-01-15,70,2,300,1,"late",4,5,"J.67"
"129","JAM","JAM_Y-PPY","J-145","Primulaceae","Lysimachia",300,"medium yellow",2025-01-15,70,2,300,1,"late",2,2,"J.40"
"130","JAM","JAM_P-OOP-O","J-193","Rosaceae","Rubus",299,"light yellow",2025-01-16,71,1,300,1,"late",2,1,"J.71"
"131","JAM","JAM_W-PWO","J-137","Asteraceae","Cichorieae",300,"dark yellow",2025-01-16,71,3,300,1,"late",4,5,"J.70"
"132","JAM","JAM_Y-WYW","J-203","Asteraceae","Cichorieae",96,"medium yellow",2025-01-16,71,1,96,2,"late",4,5,"J.73"
